,repository_name,language,owner
129,supply-chain-simulation-environment,Python,amzn
130,tiny-attribution-generator,TypeScript,amzn
131,trans-encoder,Python,amzn
132,user-satisfaction-modeling,Python,amzn
133,workspace-resolver,JavaScript,amzn
134,xfer,Python,amzn
135,zeek-plugin-bacnet,Zeek,amzn
136,zeek-plugin-enip,Zeek,amzn
137,zeek-plugin-profinet,Zeek,amzn
138,zeek-plugin-s7comm,Zeek,amzn
139,zeek-plugin-tds,Zeek,amzn
140,zero-shot-rlhr,Python,amzn
141,.github,,netflix
142,aegisthus,Java,netflix
143,af_tsa,C,netflix
144,aminator,Python,netflix
145,apache-pyiceberg,Java,netflix
146,archaius,Java,netflix
147,asgard,Groovy,netflix
148,astyanax,Java,netflix
149,atlas,Scala,netflix
150,atlas-docs,Python,netflix
151,aws-autoscaling,Shell,netflix
152,awsobjectmapper,Groovy,netflix
153,batch_request_api,Ruby,netflix
154,batch_request_client,Ruby,netflix
155,bbparse,C,netflix
156,bettertls,Go,netflix
157,blesk,JavaScript,netflix
158,bless,Python,netflix
159,blitz4j,Java,netflix
160,brutal,Python,netflix
161,cachemover,C++,netflix
162,CassJMeter,Java,netflix
163,chaosmonkey,Go,netflix
164,Cloud-Prize,,netflix
165,codec_compare,Python,netflix
166,concurrency-limits,Java,netflix
167,conductor,Java,netflix
168,conductor-community,Java,netflix
169,conductor-docs,Python,netflix
170,conductor-ui,JavaScript,netflix
171,consoleme,Python,netflix
172,curator,Java,netflix
173,denominator,Java,netflix
174,derand,Java,netflix
175,dgs,HTML,netflix
176,dgs-codegen,Kotlin,netflix
177,dgs-examples-java,Java,netflix
178,dgs-examples-java-2.7,Java,netflix
179,dgs-examples-java.latest,Java,netflix
180,dgs-examples-java16,Java,netflix
181,dgs-examples-kotlin,Kotlin,netflix
182,dgs-examples-kotlin-2.7,Kotlin,netflix
183,dgs-examples-webflux,Java,netflix
184,dgs-federation-example,Kotlin,netflix
185,dgs-framework,Kotlin,netflix
186,dgs-intellij-plugin,Kotlin,netflix
187,dial-reference,C,netflix
188,dispatch,Python,netflix
189,dispatch-docker,Shell,netflix
190,dyno,Java,netflix
191,dyno-queues,Java,netflix
192,dynomite,C,netflix
193,dynomite-manager,Java,netflix
194,eclipse-jifa,Java,netflix
195,eclipse-mat,,netflix
196,edda,Scala,netflix
197,edda-client,Java,netflix
198,element-server,JavaScript,netflix
199,ember-batch-request,JavaScript,netflix
200,ember-nf-graph,JavaScript,netflix
201,ember-nf-graph-examples,JavaScript,netflix
202,eslint-config-netflix,JavaScript,netflix
203,eslint-config-netflix-dea,JavaScript,netflix
204,eureka,Java,netflix
205,eureka-ui,JavaScript,netflix
206,EVCache,Java,netflix
207,fabricator,Java,netflix
208,falcor,JavaScript,netflix
209,falcor-datasource-chainer,JavaScript,netflix
210,falcor-express,JavaScript,netflix
211,falcor-express-demo,HTML,netflix
212,falcor-hapi,JavaScript,netflix
213,falcor-hapi-demo,HTML,netflix
214,falcor-http-datasource,JavaScript,netflix
215,falcor-json-graph,JavaScript,netflix
216,falcor-observable,JavaScript,netflix
217,falcor-path-syntax,JavaScript,netflix
218,falcor-path-utils,JavaScript,netflix
219,falcor-restify,JavaScript,netflix
220,falcor-restify-demo,HTML,netflix
221,falcor-router,JavaScript,netflix
222,falcor-router-demo,JavaScript,netflix
223,fast_jsonapi,Ruby,netflix
224,Fenzo,Java,netflix
225,Fido,C#,netflix
226,flamescope,Python,netflix
227,frigga,Java,netflix
228,genie,Java,netflix
229,glisten,Groovy,netflix
230,go-env,Go,netflix
231,go-expect,Go,netflix
232,go-iomux,Go,netflix
233,governator,Java,netflix
234,gradle-template,Java,netflix
235,hal-9001,Go,netflix
236,hollow,Java,netflix
237,hollow-reference-implementation,Java,netflix
238,hubcommander,Python,netflix
239,Hystrix,Java,netflix
240,iceberg,Java,netflix
241,iep,Java,netflix
242,iep-shadow,,netflix
243,image_compression_comparison,Python,netflix
244,inviso,JavaScript,netflix
245,karyon,Java,netflix
246,lemur,Python,netflix
247,lemur-docker,Python,netflix
248,Lipstick,JavaScript,netflix
249,mantis,Java,netflix
250,mantis-api,Java,netflix
251,mantis-cli,JavaScript,netflix
252,mantis-connectors,Java,netflix
253,mantis-control-plane,Java,netflix
254,mantis-examples,Java,netflix
255,mantis-gradle-plugin,Groovy,netflix
256,mantis-helm,,netflix
257,mantis-mql,Clojure,netflix
258,mantis-rxcontrol,Java,netflix
259,mantis-rxnetty,,netflix
260,mantis-source-jobs,Java,netflix
261,mantis-ui,TypeScript,netflix
262,matchcut,Jupyter Notebook,netflix
263,metacat,Java,netflix
264,metaflow,Python,netflix
265,metaflow-docs,JavaScript,netflix
266,metaflow-extensions-template,Python,netflix
267,metaflow-nflx-extensions,Python,netflix
268,metaflow-service,Python,netflix
269,metaflow-tools,HCL,netflix
270,metaflow-ui,TypeScript,netflix
271,metrics-client-go,Go,netflix
272,msl,C++,netflix
273,ndbench,HTML,netflix
274,nerror,JavaScript,netflix
275,netflix-commons,Java,netflix
276,netflix-graph,Java,netflix
277,netflix.github.com,HTML,netflix
278,netflixoss-npm-build-infrastructure,,netflix
279,nf-data-explorer,TypeScript,netflix
280,nflx-geofeed,,netflix
281,nflxprofile,Python,netflix
282,NfWebCrypto,C++,netflix
283,Nicobar,Java,netflix
284,ocelli,Java,netflix
285,octodns,,netflix
286,octodns-ns1,Python,netflix
287,octodns-ultra,Python,netflix
288,osstracker,Scala,netflix
289,p2plab,Go,netflix
290,photon,Java,netflix
291,PigPen,Clojure,netflix
292,pollyjs,JavaScript,netflix
293,polynote,HTML,netflix
294,Prana,Java,netflix
295,Priam,Java,netflix
296,probnik,TypeScript,netflix
297,pygenie,Python,netflix
298,pytheas,JavaScript,netflix
299,q,Java,netflix
300,Raigad,Java,netflix
301,ReactiveLab,Java,netflix
302,reactivesocket-examples,Java,netflix
303,read_bbrlog,C,netflix
304,recipes-rss,Java,netflix
305,rend,Go,netflix
306,rend-http,Go,netflix
307,rend-lmdb,Go,netflix
308,repokid,Python,netflix
309,restful-jsonapi,Ruby,netflix
310,ribbon,Java,netflix
311,runtime-health,Java,netflix
312,rx-aws-java-sdk,Java,netflix
313,s3mper,Java,netflix
314,security-bulletins,,netflix
315,security_monkey,Python,netflix
316,servo,Java,netflix
317,sherlock,R,netflix
318,signal-wrapper,Go,netflix
319,SimianArmy,Java,netflix
320,sleepy-puppy-docker,Dockerfile,netflix
321,spark,Scala,netflix
322,spectator,Java,netflix
323,spectator-cpp,C++,netflix
324,spectator-go,Go,netflix
325,spectator-js,JavaScript,netflix
326,spectator-py,Python,netflix
327,spectator-rb,Ruby,netflix
328,staash,Java,netflix
329,sureal,Python,netflix
330,suro,Java,netflix
331,Surus,Java,netflix
332,taskintrospection,C,netflix
333,tcplog_dumper,C,netflix
334,techreports,,netflix
335,titus,,netflix
336,titus-api-definitions,Makefile,netflix
337,titus-control-plane,Java,netflix
338,titus-controllers-api,Go,netflix
339,titus-executor,Go,netflix
340,titus-kube-common,Go,netflix
341,titus-resource-pool,Go,netflix
342,tslint-config-netflix,JavaScript,netflix
343,Turbine,Java,netflix
344,unleash,JavaScript,netflix
345,user2020-metaflow-tutorial,R,netflix
346,vector,JavaScript,netflix
347,vectorflow,D,netflix
348,virtual-kubelet,,netflix
349,vizceral,JavaScript,netflix
350,vizceral-component,JavaScript,netflix
351,vizceral-example,JavaScript,netflix
352,vizceral-react,JavaScript,netflix
353,vmaf,Python,netflix
354,vmaf_resource,,netflix
355,vp9-dash,,netflix
356,webpack-parse-query,JavaScript,netflix
357,weep,Go,netflix
358,Workflowable,Ruby,netflix
359,x-element,JavaScript,netflix
360,x-test,JavaScript,netflix
361,yetch,JavaScript,netflix
362,zeno,Java,netflix
363,zuul,Java,netflix
364,.github,,spotify
365,aioshumway,Python,spotify
366,android-auth,HTML,spotify
367,android-sdk,HTML,spotify
368,android-store-service,Python,spotify
369,annoy,C++,spotify
370,annoy-java,Java,spotify
371,apollo,Java,spotify
372,apollo-elide,Java,spotify
373,apollo-metrics,,spotify
374,apps-tutorial,,spotify
375,async-datastore-client,Java,spotify
376,async-google-pubsub-client,Java,spotify
377,backup-utils,Shell,spotify
378,basic-pitch,Python,spotify
379,basic-pitch-ts,TypeScript,spotify
380,batty,Python,spotify
381,bazel-tools,Java,spotify
382,beam,Java,spotify
383,big-data-rosetta-code,Scala,spotify
384,bigtable-autoscaler,Java,spotify
385,boilerplate-app,,spotify
386,bucket-runner,JavaScript,spotify
387,cartography,Python,spotify
388,cassandra-extra,Java,spotify
389,cassandra-medusa,Python,spotify
390,cassandra-opstools,Java,spotify
391,cassandra-reaper,,spotify
392,certcheck,Python,spotify
393,chartify,Python,spotify
394,code-of-conduct,,spotify
395,collectd,C,spotify
396,comet,Python,spotify
397,comet-common,Python,spotify
398,comet-core,Python,spotify
399,completable-futures,Java,spotify
400,condor,Java,spotify
401,confidence,Python,spotify
402,confidence-openfeature-provider-js,TypeScript,spotify
403,confidence-openfeature-provider-kotlin,Kotlin,spotify
404,confidence-openfeature-provider-swift,Swift,spotify
405,container-agent,Python,spotify
406,cookiecutter-golang,Go,spotify
407,coordinator,HTML,spotify
408,crtauth,Python,spotify
409,crtauth-java,Java,spotify
410,crtauth-java-agent-signer-apache,Java,spotify
411,crunch-lib,Java,spotify
412,cstar,Python,spotify
413,daemon-java,Java,spotify
414,dataenum,Java,spotify
415,DataflowJavaSDK,Java,spotify
416,dataproc-java-submitter,Java,spotify
417,dataprocxy,Python,spotify
418,dbeam,Java,spotify
419,debify,Shell,spotify
420,dh-virtualenv,Python,spotify
421,diffuser,Swift,spotify
422,dns-java,Java,spotify
423,docgenerator,Java,spotify
424,docker-alpine,,spotify
425,docker-bigtable,Go,spotify
426,docker-cassandra,Shell,spotify
427,docker-client,Java,spotify
428,docker-gc,Shell,spotify
429,docker-kafka,Shell,spotify
430,docker-maven-plugin,Java,spotify
431,docker-stress,Python,spotify
432,dockerfile-maven,Java,spotify
433,dockerfile-mode,Emacs Lisp,spotify
434,docker_interface,Python,spotify
435,drserv,Python,spotify
436,druid,,spotify
437,duck,Ruby,spotify
438,echoprint-codegen,C++,spotify
439,echoprint-server,Java,spotify
440,elasticsearch-index-window,Java,spotify
441,elitzur,Scala,spotify
442,eslint-config-oss,JavaScript,spotify
443,etcd,Go,spotify
444,featran,Scala,spotify
445,ffwd,Java,spotify
446,ffwd-client-java,Java,spotify
447,ffwd-http-client,Java,spotify
448,ffwd-ruby,Ruby,spotify
449,flink,Java,spotify
450,flink-docker,,spotify
451,flink-on-k8s-operator,Go,spotify
452,flo,Java,spotify
453,flume-syslog-source2,Java,spotify
454,flyte-flink-plugin,Go,spotify
455,fmt-maven-plugin,Java,spotify
456,folsom,Java,spotify
457,foss-root,,spotify
458,futures-extra,Java,spotify
459,futuristic-feline,Java,spotify
460,gcp-audit,Python,spotify
461,gcp-firewall-enforcer,Python,spotify
462,gcs-tools,Scala,spotify
463,ghelog,Python,spotify
464,gimme,Python,spotify
465,git-test,Shell,spotify
466,github-java-client,Java,spotify
467,google-http-java-client,Java,spotify
468,gordon,Python,spotify
469,gordon-gcp,Python,spotify
470,gordon-introspection,Python,spotify
471,gordon-janitor,Python,spotify
472,gordon-janitor-gcp,Python,spotify
473,griffin,Python,spotify
474,hadoop-openpgp-codec,Java,spotify
475,hdfs2cass,Java,spotify
476,helios,Java,spotify
477,helios-go,Go,spotify
478,helios-skydns,Java,spotify
479,heroic,Java,spotify
480,heroic-client-go,Go,spotify
481,heroic-client-java,Java,spotify
482,homebrew-public,Ruby,spotify
483,hornet,Scala,spotify
484,HubFramework,Objective-C,spotify
485,hush-tab,JavaScript,spotify
486,hype,Java,spotify
487,hyperflo,Scala,spotify
488,ieee-spm-vocals-tutorial,Jupyter Notebook,spotify
489,ios-auth,Objective-C,spotify
490,ios-ci,Shell,spotify
491,ios-sdk,Objective-C,spotify
492,ios-style,,spotify
493,java-hamcrest,Java,spotify
494,java-lkk,Java,spotify
495,jenkins-coverage-poster,Groovy,spotify
496,jira-lkk-bridge,Java,spotify
497,JniHelpers,C++,spotify
498,jsconfeu-2013,JavaScript,spotify
499,kafka,Scala,spotify
500,kairosdb,Java,spotify
501,kernel-common,,spotify
502,klio,Python,spotify
503,lemur,Python,spotify
504,lighthouse-audit-service,TypeScript,spotify
505,limbo,Scala,spotify
506,lingon,JavaScript,spotify
507,linux,C,spotify
508,logging-java,Java,spotify
509,luigi,Python,spotify
510,lyceum,Clojure,spotify
511,mace,,spotify
512,magnolify,Scala,spotify
513,metrics-munin-reporter,Java,spotify
514,missinglink,Java,spotify
515,mlockexec,Python,spotify
516,mobius,Java,spotify
517,mobius-android-sample,Java,spotify
518,Mobius.swift,Swift,spotify
519,moob,Ruby,spotify
520,netty-batch-flusher,Java,spotify
521,netty-zmtp,Java,spotify
522,noether,Scala,spotify
523,okta-sdk-python,Python,spotify
524,openfeature-kotlin-sdk,Kotlin,spotify
525,openfeature-swift-sdk,Swift,spotify
526,pedalboard,C++,spotify
527,PeqBank,C,spotify
528,perf-map-agent,C,spotify
529,phpconf-argentina-2014,JavaScript,spotify
530,platform-external-bluetooth-bluez,,spotify
531,polly-jest-presets,TypeScript,spotify
532,postgresql-metrics,Python,spotify
533,proto-registry,TypeScript,spotify
534,proto-requests,TypeScript,spotify
535,protoman,Java,spotify
536,puppet-talos,Puppet,spotify
537,pyeos,Python,spotify
538,pyfg,Python,spotify
539,pyschema,Python,spotify
540,python-graphwalker,Python,spotify
541,pythonflow,Python,spotify
542,pywk,Python,spotify
543,quickstart,JavaScript,spotify
544,ratatool,Scala,spotify
545,react-native-lookback,Objective-C,spotify
546,reactochart,JavaScript,spotify
547,realbook,Python,spotify
548,redux-location-state,JavaScript,spotify
549,requests-crtauth,Python,spotify
550,robolectric,Java,spotify
551,rspec-dns,Ruby,spotify
552,rspec-dnsruby,Ruby,spotify
553,ruler,Kotlin,spotify
554,s3mper,Java,spotify
555,scanctl,Python,spotify
556,scio,Scala,spotify
557,scio-contrib,Scala,spotify
558,scio-idea-plugin,Scala,spotify
559,scio.g8,Scala,spotify
560,sekexe,Shell,spotify
561,semantic-metrics,Java,spotify
562,should-up,JavaScript,spotify
563,shumway,Python,spotify
564,simple-bigtable,Java,spotify
565,skydns,,spotify
566,skygc,Python,spotify
567,snakebite,Python,spotify
568,soa-reference-integration,TypeScript,spotify
569,spark-bigquery,Scala,spotify
570,sparkey,C,spotify
571,sparkey-java,Java,spotify
572,sparkey-python,Python,spotify
573,spawn,Java,spotify
574,spotify-checkstyle-config,,spotify
575,spotify-heroic-datasource,TypeScript,spotify
576,spotify-js-challenge,JavaScript,spotify
577,spotify-json,C++,spotify
578,spotify-tensorflow,Python,spotify
579,spotify-web-api-ts-sdk,TypeScript,spotify
580,spotify-web-playback-sdk-example,JavaScript,spotify
581,spotify.github.io,HTML,spotify
582,SpotifyLogin,Swift,spotify
583,sprunch,Scala,spotify
584,SPStackedNav,Objective-C,spotify
585,SPTDataLoader,Objective-C,spotify
586,SPTPersistentCache,Objective-C,spotify
587,spydra,Java,spotify
588,spymaster,Python,spotify
589,squashing-census-exporter,Kotlin,spotify
590,ssh-agent-proxy,Java,spotify
591,ssh-agent-tls,Java,spotify
592,styx,Java,spotify
593,super-smash-brogp,Python,spotify
594,swupdate,,spotify
595,syslog-redirector,Go,spotify
596,syslog-redirector-golang,Go,spotify
597,talos,Ruby,spotify
598,terraform-gke-kubeflow-cluster,HCL,spotify
599,terraform-google-aws-hybrid-cloud-vpn,HCL,spotify
600,terraform-google-grr,HCL,spotify
601,testing-game,Python,spotify
602,tfexample-derive,Scala,spotify
603,tfreader,Scala,spotify
604,tfx,Python,spotify
605,threaddump-analyzer,JavaScript,spotify
606,trickle,Java,spotify
607,ts-interface-loader,TypeScript,spotify
608,tutter-jenkins,Ruby,spotify
609,uboot,,spotify
610,ulogger,Python,spotify
611,Vandelay,Java,spotify
612,vdisk,Python,spotify
613,visualizer-app,,spotify
614,volcano,Go,spotify
615,voyager,C++,spotify
616,wasd,Java,spotify
617,web-api,RAML,spotify
618,web-api-examples,HTML,spotify
619,web-audio-bench,JavaScript,spotify
620,web-playback-sdk,,spotify
621,web-scripts,TypeScript,spotify
622,web-scripts-library-template,TypeScript,spotify
623,XCMetrics,Swift,spotify
624,XCRemoteCache,Swift,spotify
625,zoltar,Java,spotify
